# TBROWSER	3.0
# USER	puthier
# OS	Mac OS X
# JAVA	1.8.0_73-b02
# DATE	mercredi 30 mars 2016
# TIME	10:37:28 CEST
# MODULE	145B59B7C
# PLATFORM	GPL570
# EXPERIMENT	GSE9195
# PROBES	452
# SAMPLES	77

HD	GSM232194	GSM232222	GSM232212	GSM232203	GSM232205	GSM232211	GSM232213	GSM232218	GSM232219	GSM232195	GSM232230	GSM232216	GSM232223	GSM232232	GSM232262	GSM232255	GSM232201	GSM232214	GSM232217	GSM232221	GSM232228	GSM232225	GSM232202	GSM232215	GSM232265	GSM232266	GSM232204	GSM232220	GSM232248	GSM232231	GSM232208	GSM232196	GSM232270	GSM232258	GSM232254	GSM232257	GSM232261	GSM232226	GSM232207	GSM232233	GSM232209	GSM232234	GSM232237	GSM232235	GSM232242	GSM232247	GSM232229	GSM232249	GSM232206	GSM232199	GSM232224	GSM232200	GSM232243	GSM232250	GSM232253	GSM232241	GSM232246	GSM232238	GSM232239	GSM232251	GSM232240	GSM232252	GSM232197	GSM232245	GSM232236	GSM232256	GSM232269	GSM232198	GSM232244	GSM232227	GSM232260	GSM232210	GSM232259	GSM232264	GSM232263	GSM232267	GSM232268
DHFR	0.14460051	0.1446479	0.13893043	0.017921071	0.06237628	0.12441561	-0.121240996	-0.13644548	-0.11314914	-0.12525797	0.044560503	-0.0032851787	0.13596639	-0.12486312	-0.12144106	-0.13716674	0.12974876	0.1456903	-0.11866129	0.13964115	0.13885145	0.14705913	0.123031	0.12298362	0.09735501	0.118008465	0.07303205	0.13270754	-0.13697195	0.14478478	0.068888724	0.13506612	0.09263783	0.13959378	-0.026850019	-0.13214421	-0.13743524	-0.12713747	0.0	-0.106494546	0.100813925	0.12647939	-0.06191825	-0.13651392	-0.13538727	-0.13426588	0.12617403	-0.034704965	-0.12622142	0.101998486	-0.12602136	0.01722613	-0.12766922	-0.1053521	-0.0044907974	-0.1322811	0.14396349	-0.12033547	-0.11608685	-0.11242261	-0.10188266	-0.078986436	-0.11237523	-0.12921703	0.13646127	-0.093622334	-0.1345923	0.04451312	0.09341174	0.016252158	0.10543634	0.13085435	0.116529085	-0.12892747	-0.11245946	-0.13420272	0.028903255
NCAPG2	0.118839666	0.030772315	0.16872275	0.11875269	-0.070808016	0.16846803	-0.15246369	-0.12264815	0.1335393	0.05229989	0.007455437	0.046820145	0.08703601	-0.14246097	-0.1080852	-0.15228972	0.10164246	0.020285001	0.0038333372	0.17116441	0.0059208595	0.1720342	0.13193017	0.10988693	0.15429027	-0.113304004	-0.12553713	-0.035220727	0.14069031	-0.08615379	0.085172154	0.12834534	-0.071137294	0.1500096	0.09841798	-0.06650871	-0.13426621	-0.045254502	-0.09733073	-0.13584428	0.03316427	0.08302872	-0.010487314	-0.14685346	-0.11038396	-0.13198608	-0.14664224	-0.106345594	-0.12974325	0.12671137	-0.0071944967	-0.072485484	-0.11588855	-0.009045931	-0.014935725	-0.06419131	0.17910445	0.13882644	-0.14697151	-0.13557713	0.06979532	-0.1199704	-0.004578881	-0.093677565	0.18280731	-0.06852789	0.0	0.17018278	0.17789915	-0.044148613	0.13717383	0.17349423	-0.004535391	0.1487049	0.111757	-0.124431245	0.15639643
RANBP1	-0.11630911	0.11439946	-0.05254102	-0.04710634	-0.107909	0.008752029	-0.12704	0.08892223	0.0061039203	-0.15702306	-0.15910001	0.10466088	0.097760804	0.099381976	0.0897934	-0.0910511	-0.1467364	-0.045640938	0.12590922	0.120705314	0.13194391	0.12830348	-0.16897129	0.11867452	0.11353407	0.11532832	0.10072045	0.121714935	0.0037442762	0.10533589	0.08648182	0.061869983	0.082524076	0.11393215	-0.10043776	-0.17153862	-0.09916851	-0.16065772	-0.16271736	-0.1411921	0.10551474	0.08282408	-0.1549865	-0.14967297	-0.16115965	-0.1668828	0.0	0.06929507	-0.1534634	0.046108253	0.03465042	-0.08750875	-0.13828437	-0.12751308	-0.09784734	-0.16106157	0.13462086	-0.09101649	-0.1549461	-0.11418023	-0.15421918	-0.12116109	-0.14971335	-0.09506654	0.10759169	-0.1484845	-0.1049032	-0.1320016	0.012190533	0.11384561	0.10060506	0.10066276	0.04456785	-0.071222015	0.10876863	0.03374464	0.11460716
DONSON	0.119394414	0.04136989	-0.09135048	-0.06401081	0.016451119	0.13138887	-0.15264878	-0.11928437	0.12910002	-0.14957313	0.084368385	0.0	0.10605745	-0.14067082	-0.13828294	-0.15021138	0.12156772	-0.107405454	0.11543294	0.122332506	0.12713578	0.10572733	0.10928715	0.078844324	0.11852509	0.06178248	0.087702624	0.13025545	0.12193636	0.10955675	0.06677834	0.037683517	0.01083353	0.077463314	-0.14980422	0.030101696	-0.14803806	-0.13799682	-0.11888822	-0.1373476	-0.11833802	-0.11297352	-0.1053807	-0.11979606	-0.14530355	-0.14336133	0.007818408	-0.13240124	-0.14390053	0.034888476	-0.14128155	-0.14145212	-0.15062402	-0.15048097	-0.08114968	-0.12910552	0.13395832	-0.067713685	-0.13339162	-0.15209307	0.066910386	0.09848663	-0.025276402	-0.14474784	0.13313302	-0.15477256	-0.13896519	-0.12290472	0.1335952	0.11012896	0.08771913	0.13024445	0.08327898	-0.086079516	0.031625763	-0.14193079	0.10697079
TUBA1B	-0.026237173	0.0890154	0.15555993	-0.035172105	-0.022157023	0.10245119	-0.071005315	-0.09304881	0.1321074	-0.09993365	0.05615383	0.09799708	0.14164335	0.10920915	-0.077709846	-0.13389039	0.17173362	0.10004717	0.13266835	0.14772016	0.11137944	0.15262836	-0.028500956	0.13589373	0.15562671	0.1239805	-0.11767663	0.16028783	-0.015939968	0.08377999	0.06438759	-0.07543271	-0.08231087	0.117149085	-0.1575566	-0.16601072	-0.14132948	-0.15998065	-0.092734955	-0.123533085	-0.111272596	-0.09913899	-0.15612087	-0.15547311	-0.14633118	-0.1183177	-0.15017092	-0.13306901	-0.07262802	0.099773385	0.051252306	-0.08492858	-0.12510905	-0.14526941	-0.12024091	-0.053956825	0.16231121	0.0538433	0.0378833	-0.101135656	-0.054971855	-0.101429485	0.007545942	0.0	0.09851127	-0.107866906	0.14885539	0.067653045	0.15128613	0.04577649	0.12960322	0.09501209	-0.12894212	0.09965318	0.15295558	0.14072847	0.1553262
CHEK1	0.14325741	0.14849527	0.15343434	0.0	0.13016583	0.06256765	-0.11314128	-0.15265994	-0.086933725	-0.09298256	-0.13365977	-0.011896451	0.12497066	0.10358022	-0.06528719	-0.14651354	0.13573906	0.08056172	-0.08804959	0.17305647	0.10959247	-0.006018348	0.13524514	0.13426343	0.15601973	0.15620875	-0.060024943	0.12654385	0.1719528	0.10084849	0.10321436	0.13073291	0.044036992	0.16217223	-0.0716531	-0.024670959	-0.13809273	-0.12936094	-0.1381903	-0.10687293	0.16575152	-0.10334851	-0.12377553	-0.11556204	-0.07875072	-0.11933037	0.027030736	0.09037888	-0.119495004	-0.10932418	-0.112214446	-0.100171655	-0.0974887	-0.058787126	-0.045378465	0.0046585794	0.14896478	0.072994575	-0.125367	-0.064421326	-0.052628532	-0.12403773	-0.0059146886	-0.10087898	0.17391624	-0.12937924	0.07991537	-0.04613457	0.15579411	0.04731751	0.1583673	0.17465405	0.14292814	0.070714064	-0.09943994	0.1161718	0.1458733
DHFR	0.16024882	0.15782487	0.15302621	-0.09670631	-0.07230813	0.13563177	-0.113362074	-0.13004519	-0.10210137	-0.099885345	0.07907111	-0.0757717	0.12587032	-0.09855573	-0.0011873526	-0.12993029	0.15213433	0.15550488	-0.10425721	0.1435055	0.15378131	0.16367409	0.13289593	0.12991935	0.09346708	0.1335416	0.13786422	0.13658932	-0.1265269	0.16140334	0.08530882	0.13107935	0.05682877	0.1536062	0.04920126	-0.09511952	-0.12924632	-0.10770983	-0.01464219	0.04857749	0.13208066	0.14653134	-0.023232713	-0.12155316	-0.12539427	-0.11421018	0.14364229	0.0	-0.10153232	0.106287204	-0.11068095	0.13335556	-0.122215234	-0.047072783	-0.0036933776	-0.050552763	0.16359748	-0.10584947	-0.098446295	-0.109570205	-0.03777094	-0.079399414	-0.12001015	-0.11369037	0.1535296	-0.06015555	-0.100246474	0.097828	0.11342773	0.105351545	0.119687326	0.113072075	0.13995439	-0.08864106	-0.10884247	-0.12503862	0.046881273
TUBA1B	-0.0627007	0.1361077	0.16308491	0.038180236	-0.041133698	0.1250725	-0.05440415	-0.108942546	0.12748225	-0.06950038	0.08852337	0.12321315	0.1457803	0.09186616	-0.066264994	-0.142706	0.1758385	0.12991886	0.12617332	0.14843841	0.13007323	0.17333478	-0.014498823	0.115097836	0.15295587	0.11341973	-0.08682513	0.16188338	0.0	0.09753815	-0.046839256	-0.071547665	-0.11852117	0.102364376	-0.15634565	-0.16828704	-0.14551851	-0.16354807	-0.051276162	-0.10562661	-0.0954036	-0.031957824	-0.15752703	-0.15676181	-0.14710264	-0.048899967	-0.14361219	-0.12824075	0.026211994	0.12066914	0.100283526	-0.06602334	-0.12411261	-0.14920363	-0.11010379	-0.02503732	0.15711758	0.036018837	0.088805296	-0.084388524	-0.037240498	-0.06430496	-0.027030908	-0.056941442	0.09776637	-0.10284767	0.14721675	0.07357482	0.13655072	0.064311676	0.1386987	0.1062173	-0.120910786	0.11278205	0.15743977	0.1407057	0.15214367
BRCA2	0.14262891	0.12488077	0.0	-0.1273863	0.09684678	-0.034293924	-0.17226084	-0.1650623	0.05903892	-0.085436165	0.15206923	-0.090214506	0.15640542	-0.067563914	-0.031338487	-0.145499	0.16785483	0.04540202	0.09319321	0.2172595	0.19381769	0.21175975	-0.017895518	0.17092663	0.20217203	0.17289692	0.14418808	0.0882287	-0.047170628	0.06851028	0.12599778	0.17399842	0.12642442	0.19844864	0.09911185	-2.4822564E-4	0.052383367	-0.06906878	0.039894514	-0.14054225	0.036675338	-0.048574656	-0.13375483	-0.14558434	-0.05710741	-0.13969673	-0.016654389	-0.15136334	-0.030966148	-0.08652991	0.0063762963	-0.04343173	-0.07677929	-7.291628E-4	-0.054888897	-0.15308541	0.16448827	-0.008098361	-0.04924952	-0.09403098	0.0040336666	-0.092401996	-0.14665481	0.09272779	0.18086341	0.00570919	-0.031074747	-0.071015805	-0.008625841	-0.072970584	0.13880467	0.043361917	0.11582829	0.01417989	0.11764344	-0.10039952	0.17677544
KIF2C	0.13194537	0.11385165	0.056173142	-0.084716596	-0.11959197	0.10523531	-0.14985166	-0.15187834	-0.12781	-0.13939607	-0.0027178663	-0.12771629	0.107502155	-0.08727045	-0.09731601	-0.1499981	0.14857474	0.12828445	0.15601958	0.14534141	0.07480575	0.16113901	0.14030398	0.02616532	0.15745465	0.14436907	0.041523606	0.14535312	0.13001826	0.08444715	-0.051329013	0.037593246	-0.019546378	0.13107847	0.075075194	-0.14753796	-0.14397076	-0.13472767	-0.13476282	-0.1424361	-0.06659358	-0.0017923859	-0.118010454	-0.15118717	-0.1441875	-0.14220181	-0.14237167	-0.115116864	-0.07349368	0.14826429	-0.03609373	0.085700646	-0.1335386	-0.102236286	0.0026065742	-0.10078363	0.14927177	0.10309148	-0.12232155	-0.099852294	-0.06105827	-0.10088321	-0.013975924	-0.0988741	0.1528917	-0.130358	0.07840224	0.0	0.104257114	0.05780152	0.13099061	0.15099387	0.01887277	0.12321189	0.1494475	0.01537586	0.14009312
MCM3	0.06518343	0.14171258	-0.12341024	-0.025712797	0.011793321	-0.14355898	0.031320374	-0.0011501131	0.1257602	-0.05135721	0.13622934	0.0	0.029648049	-0.083641194	0.018650481	-0.16155669	0.13389802	0.15215063	-0.11056005	0.14636277	0.07335856	0.14635655	0.022641685	0.14953956	0.14174366	0.13484298	0.105369	-0.1194066	0.14157581	0.14812213	0.12488984	0.107737616	0.0696409	0.13873471	-0.13410318	-0.13250546	-0.09952519	-0.14000295	-0.086793125	-0.10424376	0.05840709	0.027192403	-0.080333844	-0.1393937	-0.055360846	-0.10310608	-0.112251036	0.072904736	-0.15903887	-0.13437672	-0.1481159	-0.1323749	-0.13354988	-0.15879641	-0.08263407	-0.10240358	0.16659854	-0.009331457	-0.08016599	-0.115552165	3.9787695E-4	-0.1333696	-0.1225461	-0.08267137	0.15868452	-0.13794518	0.13369909	0.11808863	0.12060023	-0.028068975	0.14581569	0.15767738	0.09704468	0.14925359	-0.12597778	-0.14492668	0.061670925
TUBA1B	-0.061742097	0.12757856	0.15947986	0.045191295	-0.024812868	0.12919895	-0.058988076	-0.13975494	0.09130949	-0.11208802	0.08414103	0.122944064	0.14250895	0.09355672	-0.06097524	-0.14782362	0.17096274	0.12893222	0.13820788	0.1472768	0.13800782	0.1689689	0.0	0.10178544	0.15035091	0.106573306	-0.09906476	0.15781277	-0.014823705	0.09240976	-0.062315576	-0.061442025	-0.1313795	0.091316156	-0.16068684	-0.17192964	-0.14731681	-0.1671351	-0.045124613	-0.1095207	-0.08179378	-0.05040593	-0.1580795	-0.15575226	-0.14501624	-0.09673084	-0.14993748	-0.13044594	8.6688335E-5	0.12113027	0.11037426	-0.042257227	-0.13113944	-0.141362	-0.09671751	-0.042864047	0.14767024	0.02741352	0.088022	-0.07667916	-0.025593063	-0.06961073	-0.011889638	-0.07733266	0.100338414	-0.108753845	0.14266232	0.066770025	0.132013	0.06737017	0.13535383	0.10285904	-0.104979575	0.121343665	0.1529249	0.1366008	0.14660998
GINS4	-0.08008963	0.14124689	0.13158128	-0.02863622	0.12548359	0.1070539	-0.1325156	0.10767131	0.107982755	0.0	-0.08022622	0.08698505	0.064599514	-0.052988756	-0.060069952	-0.12698615	0.016003719	0.15276475	0.15114199	0.14777076	0.15290682	0.15027869	-0.020243693	0.14354719	0.117162086	0.14318657	-0.09632283	0.12264782	0.11665941	0.15356795	-0.08637309	0.12365864	-0.08460826	0.14257461	-0.12377339	-0.065304354	-0.06438642	-0.12179546	-0.06669218	-0.123128645	-0.07065896	-0.12868541	-0.116287865	-0.13322045	-0.13925804	-0.1223036	-0.120451346	-0.10860564	-0.12180638	0.04224676	-0.081876315	-0.079160765	-0.06294396	-0.10904275	-0.12268061	-0.0703202	0.15032786	0.09574912	-0.13053767	-0.08723639	-0.080024056	-0.12372421	0.07513388	-0.07852695	0.1439679	0.12097041	0.15084147	0.14651407	0.15172662	0.07081195	0.14810953	0.14324121	-0.07276802	0.14733912	0.13805598	0.13629115	0.15424547
TUBA1C	-0.04480103	0.11548605	0.15076084	0.0	-0.047008242	0.10140321	-0.06017028	-0.122818604	0.07119281	-0.08153151	0.075492136	0.07041419	0.1453376	0.09302798	-0.07259432	-0.13307606	0.17390952	0.11682662	0.13325208	0.13526295	0.12774083	0.16081518	0.051558085	0.106515005	0.15243995	0.12708408	-0.10450414	0.1482625	-0.006073224	0.094625846	-0.008618968	-0.10030637	-0.0873813	0.09012339	-0.14780886	-0.16832377	-0.14521573	-0.16396351	-0.10778111	-0.120760344	-0.11991402	-0.051578395	-0.15695594	-0.16075425	-0.14129555	-0.085885	-0.14721306	-0.14788334	0.0050305524	0.14076746	0.077922784	-0.13311668	-0.12053014	-0.14327256	-0.11014405	-0.03649351	0.15314409	0.034056094	0.05150392	-0.11232418	-0.05080655	-0.09382014	-0.004448281	-0.014814063	0.08579022	-0.09658255	0.1516681	0.058843244	0.14617716	0.07113865	0.14443712	0.11989371	-0.11554698	0.12365816	0.16289376	0.14466731	0.15800539
EZH2	0.12354346	0.12339396	0.091576435	0.016689526	0.12756911	0.1218878	-0.1420437	-0.15739319	-0.11501597	-0.09105592	-0.12921369	-0.1423704	0.10286152	-0.15418707	-0.093243174	-0.15968011	0.11430165	0.0	0.06045108	0.12512161	-0.109960385	5.0389743E-4	-0.11305576	0.1151987	0.11913021	-0.111206286	-0.10973335	-0.11978362	0.0053878264	0.1131222	0.05184606	0.09737402	-0.047770582	0.12195425	0.007813179	-0.14154534	-0.15910977	-0.04862333	-0.083159685	-0.13142309	0.026352175	0.083730035	-0.12835541	-0.15968564	-0.14765856	-0.14694978	-0.15700004	0.12513822	-0.15630233	0.11560847	0.033157557	-0.1401444	-0.13824509	-0.14178345	-0.09883034	-0.15917067	0.13632363	-0.066486776	-0.15883844	-0.15826255	-0.062677085	-0.12427993	-0.13733697	-0.025521575	0.1410802	0.11597393	0.076420754	0.12780167	0.12571964	0.07087788	0.13283512	0.1328628	0.124473736	0.03192273	0.015393789	0.033722367	0.11048643
