# TBROWSER	3.0
# USER	puthier
# OS	Mac OS X
# JAVA	1.8.0_73-b02
# DATE	mercredi 30 mars 2016
# TIME	10:43:30 CEST
# MODULE	60E0C1ABC
# PLATFORM	GPL570
# EXPERIMENT	GSE7127
# PROBES	205
# SAMPLES	63

HD	GSM162904	GSM162934	GSM170596	GSM169526	GSM170592	GSM162931	GSM169524	GSM162902	GSM170589	GSM162941	GSM170855	GSM170866	GSM162930	GSM169529	GSM170858	GSM170591	GSM162905	GSM170843	GSM170857	GSM170593	GSM170983	GSM171597	GSM162942	GSM170853	GSM169531	GSM162937	GSM162928	GSM170588	GSM162943	GSM169525	GSM162936	GSM170867	GSM162929	GSM170835	GSM170595	GSM170850	GSM169530	GSM170979	GSM170862	GSM170590	GSM170597	GSM169528	GSM162932	GSM162906	GSM162940	GSM171011	GSM162938	GSM162939	GSM170833	GSM170865	GSM170844	GSM162933	GSM170841	GSM170849	GSM169527	GSM170823	GSM170980	GSM170594	GSM170848	GSM162935	GSM170992	GSM171012	GSM170978
FBXL6	0.10498063	-0.011565663	-0.05091318	-0.17101814	-0.20045802	0.037002034	-0.15350789	0.04140993	-0.17304012	-0.048163302	0.03392864	-0.028995037	-0.050670546	-0.014598616	0.20138812	-0.17546648	0.09349585	0.16208105	-0.047920667	-0.1833926	0.030369977	-0.088440925	-0.1397585	-0.060254678	0.13551237	0.06801904	-0.05119626	0.00978633	-0.047435395	0.023940114	-0.29969627	-0.09058422	0.044038486	0.0797869	0.19059081	0.17202914	-0.26220894	0.22011155	0.07254825	0.0	0.34106573	0.020502767	-0.15128373	0.033483807	0.19228926	-0.09600309	0.055118877	0.032351505	-0.123946704	-0.08108096	-0.17033067	-0.057181288	-0.16895574	-0.022362977	0.044928152	-0.10930765	0.100936696	0.10805403	0.058677543	0.04007543	0.107083485	0.080555245	-0.1502323
NFKBIL2	0.0578966	0.010637729	-0.03869488	0.029290186	-0.31572422	0.03850432	-0.3004346	0.026678395	-0.07487886	-0.16456534	-0.06264939	-0.11886458	-0.31096023	-0.03286599	0.04916447	-0.30804577	-0.040499598	0.09337438	-0.005279632	-0.20044667	0.0072973254	-0.30908826	-0.2358908	-0.1664261	0.09286996	0.048727304	-0.08589771	0.018136824	0.07174022	0.0506329	-0.08375671	0.042259473	0.046776865	0.0074542575	0.034603447	0.0900564	-0.06407298	0.08625641	0.02314743	0.0	0.094820395	0.018708505	-0.09127822	0.0068937866	0.08108887	-0.005089072	0.026308484	-0.06371428	-0.2357563	-0.13960199	-0.10919086	0.018181661	-0.18728681	0.0466984	0.016231224	0.009505579	-0.16278304	-0.0052460036	-0.036139134	0.05137272	-0.27587476	0.06074379	-0.059936713
PABPC1	0.12199917	-0.0135554625	0.009488824	0.124710254	-0.06642177	0.124710254	-0.21824294	-0.048799668	-0.005422185	-0.05151076	-0.10302152	0.052866306	-0.23179841	0.0067777312	0.111154795	-0.111154795	0.16808774	0.033888657	-0.24535388	-0.17486547	0.08539941	-0.6032181	-0.097599335	-0.08404387	-0.05828849	0.082688324	-0.033888657	0.017622102	0.077266134	-0.016266555	-0.016266555	0.0013555463	0.0	0.056932945	0.06642177	0.13826571	-0.08404387	0.016266555	-0.08539941	0.1084437	0.1436879	0.040666386	-0.082688324	0.027110925	-0.033888657	0.035244204	0.0135554625	0.04337748	-0.029822018	-0.046088573	-0.063710675	0.09488824	-0.028466472	0.0067777312	-0.07997723	0.06777731	-0.062355127	0.014911009	-0.1491101	0.07184395	-0.0027110926	0.05151076	-0.35921976
PABPCP3	0.11998245	0.0061102174	0.035550356	0.10554012	-0.053325534	0.1427569	-0.2444087	-0.029440138	0.06165765	-0.22885542	-0.09554158	-0.004999269	-0.20996928	0.06443502	0.07943282	0.008332115	0.08998684	0.045548894	-0.29495686	-0.084432095	0.015553281	-0.4777079	-0.22885542	-0.1338693	0.05665838	0.06998976	-0.059991226	-0.0061102174	0.101096325	-0.026107293	0.0605467	0.0	-0.08665399	-0.0027773716	0.044437945	0.13220288	-0.05776933	0.009443063	-0.078321874	0.11331676	0.14608975	0.08832041	-0.067767866	0.06165765	-0.049437214	0.06165765	0.058324803	0.032772984	-0.13053647	-0.05388101	-0.1727525	0.14775616	0.023885395	0.03999415	-0.10331822	0.0777664	-0.19774885	-0.026107293	-0.15219995	0.06499049	-0.03332846	-0.0133313835	-0.28884664
COPS5	-0.015077138	0.056257978	-0.13366896	0.26418746	-0.008776245	0.08326181	-0.04928199	0.13614431	0.035780076	0.010126436	-0.09203805	-0.03397982	0.009676373	-0.026328733	0.18880178	0.12961838	0.15234661	0.0036005105	-0.02362835	0.06885976	0.1784503	0.123992585	-0.10306462	-0.12106717	-0.1890268	-0.11656653	-0.2862406	-0.0585083	-0.21828096	-0.3440738	0.04028071	-0.020477904	-0.1791254	-0.065259255	0.021378031	0.17890038	-0.1946526	0.070885055	-0.058058232	0.2178309	0.08573716	0.0	0.081686586	0.10689016	0.13276882	0.09811392	0.10914048	0.101939455	0.14537062	-0.04815683	-0.10261455	0.09541353	-0.15504698	2.2503191E-4	-0.011926691	0.17192438	-0.17259948	-0.027228862	-0.08033639	0.16607355	-0.087537415	-0.06728454	-0.042756062
NULL	-0.21096094	-0.18087426	-0.13193281	-0.0056496854	-0.48857132	0.10017651	-0.35275963	0.023998516	-0.045197483	-0.18127902	-0.0020069033	-0.15147904	-0.14102289	0.0	0.033864383	-0.055788536	0.16996278	0.17809159	-0.13215205	0.054473087	0.055451244	-0.08833747	-0.049329344	-0.06966821	0.21249564	0.011586072	-0.101238996	-0.059667427	0.09948506	0.06482803	0.005835198	0.10064872	0.13734639	-0.0042161834	0.04970037	0.13081974	-0.07573952	0.081355475	0.080900125	0.12264034	0.16940625	-0.1387799	0.05926267	0.030525167	0.13181475	0.09542066	0.057019662	-0.055130813	0.026713736	-0.045804616	0.002968193	-0.022919172	-0.006762758	0.03064322	0.01236185	0.017859753	-0.19731738	-0.009596033	-0.22317101	0.07783075	-0.079989426	-0.057576198	-0.006358004
NDUFB9	-0.19636667	-0.055543717	-0.048811145	0.040395427	-0.6452048	0.019636666	-0.27715752	-0.022441905	-0.028052382	-0.13409038	-0.17055848	-0.09257286	-0.111087434	0.015709333	0.081351906	-0.036468096	0.11333162	0.080790855	-0.030296572	-0.13016304	0.09537809	-0.0095378095	-0.05666581	-0.18177943	0.08415715	0.025247144	-0.042078573	-0.11613686	-0.06564257	-0.028052382	0.03254076	0.09257286	0.06283733	-0.014026191	0.02131981	0.11052638	-0.25752085	0.056104764	0.082474	0.15821543	0.14867762	-0.09257286	-0.09930543	-0.027491333	0.12006419	0.07574143	0.098744385	0.020758763	0.08752343	0.0	-0.100988574	0.029174477	-0.07742457	0.024686096	0.10154962	0.06452048	-0.106038004	0.07013095	0.049372192	0.09986648	0.006171524	-0.020197714	-0.06676467
EIF2C2	0.3238628	0.09178043	-0.0020277633	0.22962007	-0.0036692861	-0.08907675	-0.03432714	0.123597	0.14889577	0.07541349	0.05494273	0.027229965	0.06435735	0.14387465	0.1616417	-0.004779728	0.14889577	0.20789403	0.06401939	-0.12953545	0.15522046	-0.04248647	-0.25226343	0.10022945	-0.014435744	-0.040024187	-0.10191925	0.0040555266	-0.2641403	-0.08477982	-0.21701896	-0.17462905	-0.055280693	-0.07966213	-0.016849749	0.12137612	0.039251704	0.0	-0.18993384	0.09921557	0.19645165	-0.14440572	0.071792476	0.07106828	0.08246238	-0.1059265	0.033796057	-0.02935429	-0.0841039	-0.044900473	-0.08057945	-0.0015932426	-0.23956576	-0.10959578	0.024526281	0.081738174	0.07700673	-0.05861202	-0.16449024	0.019022351	0.04852148	0.15019932	-0.24251084
RAD54B	-0.027513022	-0.018442795	0.0	0.12050444	-0.52542526	0.08353247	-0.03330069	0.15721726	0.034510054	0.022027694	0.04435773	0.1478447	-0.030061323	0.055198807	0.1744507	-0.100981854	0.12205934	0.06508967	-0.035460267	-0.024575995	0.08659907	-0.031573027	-0.35326374	-0.12054763	0.15942003	0.0063923504	-0.063664354	0.07588756	-0.13367787	0.15661258	-0.030752387	-0.085432895	-0.042111766	-0.09005439	0.047251564	0.18935178	-0.026562806	0.16792877	-0.11108868	-0.0133893825	0.042111766	-0.15540321	0.12810615	-0.022070885	0.084871404	0.12218891	-0.018788327	-0.014728321	-0.020213649	-0.1953986	0.02030003	0.09774249	-0.038397294	0.030968346	0.2368625	0.040168148	-0.18019517	0.017319813	-0.023150673	0.08245268	-0.021207053	0.07437586	-0.20243882
ATAD2	-0.029996764	0.033329736	-0.08554632	0.13757774	-0.41421455	-0.016294537	0.0	0.06598053	-0.039316744	0.046353023	-0.015492155	0.07394264	-0.019010294	0.07931243	0.105729334	-0.051784534	0.13325723	0.039316744	-0.030552259	-0.0033329737	0.03376179	0.0025923129	-0.6022807	-0.11887606	-0.07406608	0.04197078	-0.031416364	0.038205754	-0.09264433	0.05900598	-0.15671149	-0.015368712	-8.641043E-4	-0.021170555	-0.015430434	0.12399896	0.044871703	0.08289229	-0.33008784	0.11819712	0.10739582	0.044316206	0.06523988	0.06795563	0.10739582	0.08992857	-0.0032095301	-0.1493666	-0.06690636	-0.1644267	0.042958327	0.04024257	-0.08431189	-0.0017282086	0.1388739	0.05085871	-0.08992857	0.006604226	0.009011373	0.07659667	-0.080608584	-0.009319982	-0.15492156
